,Date,User,Tweet,Label
30,2022-12-12 04:39:55+00:00,Suara_sumedang,"Speechless, Wejangan Dedi Mulyadi Kepada Yessy Soal Mahar Sertifikat Rumah Bikin Kaget! https://t.co/2OIcw5BKKH",None
31,2022-12-12 01:58:05+00:00,FelixSGL1,"@rinovsky12 @Outstandjing Malahan di Jabar utamanya kota Bandung jujurly, sekarang kalo lagi rame untuk Pilgub besok kalo ga Dedi Mulyadi sih Bima Arya. Bahkan Bima Arya pun didesak sama orang Bandung maju, kali aja jadi Gub Jabar bisa perhatikan Bandung (kan beliau orang Bandung). Daripada Yana Mulyana😂",None
32,2022-12-11 22:19:20+00:00,info_daratan,Dedi Mulyadi tiba-tiba berbelok arah menuju Rumah Sakit Hasan Sadikin Bandung. #GolkarSolid https://t.co/i4Ib7ZGEQL,None
33,2022-12-11 21:02:07+00:00,Updatekarawang1,"Perjodohan Kang Dedi Mulyadi dan Bupati Karawang Cellica Terhalang, Bukan karena Ambu Anne, Tapi Ini
#updatekarawang #kangdedimulyadi #cellicanurrahmadiana #perjodohan https://t.co/bf0Qv6O6ek",None
34,2022-12-11 10:36:30+00:00,viewjabar,"Digugat Cerai Ambu Anne, Dedi Mulyadi Sebut Hatinya Sudah Terisi, Siapa ya? Salah Satu dari Empat Wanita Ini? https://t.co/6v8Sc9Cu8B",None
35,2022-12-11 09:59:21+00:00,info_daratan,Dedi Mulyadi tiba-tiba berbelok arah menuju Rumah Sakit Hasan Sadikin Bandung. #GolkarSolid https://t.co/i4Ib7ZGEQL,None
36,2022-12-11 09:30:50+00:00,BMendut,"SINYAL DEDI MULYADI MENDUDA SELAMANYA, BAKAL CERAII DENGAN ANNE RATNA MU... https://t.co/QzjzmoX6nb lewat @YouTube",None
37,2022-12-11 09:30:34+00:00,BMendut,"MENOHOK BANGET!! JAWABAN CELLICA NURACHDIANA BIKIN DEDI MULYADI SHOCK, T... https://t.co/0KxGUkNYAG lewat @YouTube",None
38,2022-12-11 08:49:46+00:00,suaradotcom,Pemerasan? Dedi Mulyadi Sebut Oknum Penyebar Video Viral Anne Ratna Mustika Minta Sejumlah Uang  https://t.co/zCDHhxwOKx,None
39,2022-12-11 08:49:40+00:00,suaradotcom,"Ga Level! Kang Dedi Mulyadi Ogah Bongkar Aib Ambu Anne, Cuma Mau Balas Begini  https://t.co/nY4jn8UMXQ",None
40,2022-12-11 02:38:44+00:00,TINTAHIJAUcom,"Ogah Umbar Masalah Pribadi ke Publik, Dedi Mulyadi: Embu Anne Adalah Ibu dari Anak-anak Saya https://t.co/Jq0gSJ16l3",None
41,2022-12-10 21:14:20+00:00,info_daratan,Dedi Mulyadi tiba-tiba berbelok arah menuju Rumah Sakit Hasan Sadikin Bandung. #GolkarSolid https://t.co/i4Ib7ZGEQL,None
42,2022-12-10 18:19:21+00:00,info_daratan,Dedi Mulyadi tiba-tiba berbelok arah menuju Rumah Sakit Hasan Sadikin Bandung. #GolkarSolid https://t.co/i4Ib7ZHcGj,None
43,2022-12-10 18:03:52+00:00,DediMul10751687,@Elzhwuy Kaya nya msh sepit ya,None
44,2022-12-10 17:33:08+00:00,KeysyaAzahra7,"Bagikan Kabar Bahagia, Dedi Mulyadi: Insyaallah Ini adalah Pernikahan yang Kedua dan Terakhir https://t.co/mmpd9q4oxU",None
45,2022-12-10 16:49:20+00:00,info_daratan,Dedi Mulyadi tiba-tiba berbelok arah menuju Rumah Sakit Hasan Sadikin Bandung. #GolkarSolid https://t.co/i4Ib7ZYfIj,None
46,2022-12-10 16:34:58+00:00,Dedimul53402259,@jusapelll Hay,None
47,2022-12-10 16:27:53+00:00,Dedimul53402259,Trimksih untuk malm ini🏦 https://t.co/kmcqRIq8nP,None
48,2022-12-10 15:11:03+00:00,idntimes,"Longsor Maut di Purwakarta, Dedi Mulyadi Relokasi Keluarga Korban https://t.co/HswzZMmPqV",None
49,2022-12-10 12:03:07+00:00,HopsIndonesia,"Saling bongkar aib, kini Dedi Mulyadi sentil hutang sisa Pilkada Anne Ratna Mustika: Saya tidak tega https://t.co/IJLw7JjQck",None
50,2022-12-10 11:05:20+00:00,noviblekok2,"@bayu_joo Akhirnya mikir ""mending nyetrika baju sambil nonton youtube nya kang Dedi mulyadi""",None
51,2022-12-10 09:16:37+00:00,pikiran_rakyat,Dedi Mulyadi Sebut Ambu Anne Percaya pada 'Pananyaan' hingga Bocorkan Nama Penyebab Perceraiannya: Inisial M https://t.co/BOas1UG0Ij https://t.co/TP46phxsQM,None
52,2022-12-10 09:16:28+00:00,Antara_Jabar,"Dedi Mulyadi inisiatif relokasi keluarga korban longsor Purwakarta 

https://t.co/LvLP5TRaHb",None
53,2022-12-10 08:41:00+00:00,jaditau_id,"Rengkut Nyawa Seorang Anak Akibat Longsor di Jatiluhur Purwakarta, Dedi Mulyadi Bakal Relokasi Keluarga Korban
https://t.co/netjZPb0B7",None
54,2022-12-10 08:19:21+00:00,info_daratan,Dedi Mulyadi tiba-tiba berbelok arah menuju Rumah Sakit Hasan Sadikin Bandung. #GolkarSolid https://t.co/i4Ib7ZGEQL,None
55,2022-12-10 06:43:40+00:00,BMendut,"DEDI MULYADI KEKAYAANNYA MILIARAN RUPIAH, JIKA BENAR PISAH DENGAN ANNE R... https://t.co/Lx7R50BpLe lewat @YouTube",None
56,2022-12-10 06:43:21+00:00,BMendut,"TUDING ANNE RATNA MUSTIKA BOHONG, DEDI MULYADI SUDAH SIAPKAN SEMUA BUKTI... https://t.co/aooaC9sq6s lewat @YouTube",None
57,2022-12-10 06:43:03+00:00,BMendut,"ANNE RATNA MUSTIKA KINI MANGKIR SIDANG LANJUTAN DENGAN DEDI MULYADI, TER... https://t.co/LA8ChBAOAN lewat @YouTube",None
58,2022-12-10 06:38:33+00:00,pikiran_rakyat,"Ambu Anne Ceraikan Suami karena Nafkah, Dedi Mulyadi Singgung Rumah Dinas: Nggak Bisa Dibiayai oleh Saya https://t.co/xHP4PtVeYI https://t.co/TDQimeLksY",None
59,2022-12-10 06:17:03+00:00,HopsIndonesia,Dedi Mulyadi tegas tepis tuduhan KDRT psikis Anne Ratna Mustika: Lebih baik batal nikah! https://t.co/prkqECDgsC,None
60,2022-12-10 06:13:35+00:00,pikiran_rakyat,"Alasan Gugatan Cerai Ambu Anne soal Nafkah, Dedi Mulyadi Singgung Biaya Pencalonan Bupati: Kategorinya Apa? https://t.co/I8d29TrVGa https://t.co/9urRw6j8Eg",None
61,2022-12-10 05:39:32+00:00,pikiran_rakyat,"Terima Tuduhan dari Ambu Anne, Dedi Mulyadi Balik Beberkan Dana Istri Jadi Bupati: Beban Sampai Hari Ini https://t.co/i1xsCTvwLC https://t.co/wTgsfWa3T6",None
